Datetime;Ticker;superior_POI;Close;Timeframe;DIRECTION;first_fractal_Datetime;first_fractal;first_fractal_price;second_fractal_Datetime;second_fractal;second_fractal_price
2021-12-20 08:00:00+00:00;CHFJPY;6;122,97200012207033;H3;;2021-12-08 23:00:00+00:00;higher_high;123,55698066403863;2021-12-09 14:00:00+00:00;higher_low;122,56209380605269
2021-12-20 11:00:00+00:00;CHFJPY;3;122,94000244140624;H2;BUY;2021-12-09 15:00:00+00:00;higher_low;122,56209380605269;2021-12-16 13:00:00+00:00;higher_high;123,96501839485592
2021-12-01 00:00:00;CHFJPY;6;123,6719970703125;MO;;2015-01-01 00:00:00;higher_high;158,08477971848382;2016-03-01 00:00:00;lower_low;1,156243581573988
2021-12-13 00:00:00;CHFJPY;6;122,5999984741211;W1;;2020-12-28 00:00:00;lower_low;107,51531328258666;2021-06-14 00:00:00;higher_high;122,76178091263104
2021-12-17 00:00:00;CHFJPY;6;123,6719970703125;D1;;2021-11-01 00:00:00;higher_high;125,47113679563648;2021-11-29 00:00:00;higher_low;122,16355118496014
2021-12-19 23:00:00+00:00;CADJPY;6;87,93000030517578;H12;;2021-08-20 00:00:00+01:00;6;84,80614997633184;2021-10-21 00:00:00+01:00;higher_high;92,96751100208822
2021-12-19 23:00:00+00:00;CADJPY;6;87,84300231933594;H8;;2021-10-27 08:00:00+01:00;higher_low;91,45360776069924;2021-11-01 15:00:00+00:00;lower_high;92,42746645013196
2021-12-20 05:00:00+00:00;CADJPY;6;87,93000030517578;H6;;2021-10-27 12:00:00+01:00;higher_low;91,45360776069924;2021-11-01 11:00:00+00:00;lower_high;92,42746645013196
2021-12-20 07:00:00+00:00;CADJPY;6;87,93000030517578;H4;;2021-12-03 19:00:00+00:00;lower_low;87,71191337859521;2021-12-08 11:00:00+00:00;lower_high;90,24329185756152
2021-12-20 08:00:00+00:00;CADJPY;6;87,93000030517578;H3;;2021-12-03 17:00:00+00:00;lower_low;87,71191337859521;2021-12-08 14:00:00+00:00;lower_high;90,24329185756152
2021-12-20 11:00:00+00:00;CADJPY;6;87,77200317382812;H2;;2021-12-03 19:00:00+00:00;lower_low;87,71191337859521;2021-12-08 13:00:00+00:00;higher_high;90,24329185756152
2021-12-01 00:00:00;CADJPY;6;88,92400360107422;MO;;2014-12-01 00:00:00;higher_high;106,49660405150658;2016-11-01 00:00:00;higher_low;74,82095686334408
2021-12-13 00:00:00;CADJPY;6;88,1258544921875;W1;;2020-03-16 00:00:00;lower_low;69,25640411829534;2021-05-31 00:00:00;higher_high;91,18036403439297
2021-12-17 00:00:00;CADJPY;6;88,92400360107422;D1;BUY;2021-08-20 00:00:00;higher_low;84,67215811926532;2021-10-21 00:00:00;higher_high;93,0195171573904
2021-12-19 23:00:00+00:00;CADCHF;6;0,7150499820709229;H12;;2021-10-20 00:00:00+01:00;higher_high;0,7489605134399834;2021-12-03 11:00:00+00:00;higher_low;0,7132223834583993
2021-12-19 23:00:00+00:00;CADCHF;6;0,7150999903678894;H8;;2021-10-20 08:00:00+01:00;higher_high;0,7489605134399834;2021-12-03 15:00:00+00:00;lower_low;0,7132223834583993
2021-12-20 05:00:00+00:00;CADCHF;6;0,7150499820709229;H6;;2021-12-03 17:00:00+00:00;lower_low;0,7132223834583993;2021-12-08 11:00:00+00:00;lower_high;0,7325391798190021
2021-12-20 07:00:00+00:00;CADCHF;6;0,7150499820709229;H4;;2021-12-08 11:00:00+00:00;lower_high;0,7325391798190021;2021-12-14 11:00:00+00:00;higher_low;0,7163621024104568
2021-12-20 08:00:00+00:00;CADCHF;6;0,7150499820709229;H3;;2021-12-08 11:00:00+00:00;lower_high;0,7325391798190021;2021-12-14 11:00:00+00:00;higher_low;0,7163621024104568
2021-12-20 11:00:00+00:00;CADCHF;6;0,713729977607727;H2;;2021-12-14 13:00:00+00:00;higher_low;0,7163621024104568;2021-12-16 15:00:00+00:00;lower_high;0,7219583216078485
2021-12-01 00:00:00;CADCHF;6;0,7189599871635437;MO;;2015-01-01 00:00:00;lower_low;0,6302590649394542;2017-09-01 00:00:00;lower_high;0,7952442796752035
2021-12-13 00:00:00;CADCHF;6;0,7166000008583069;W1;;2020-03-16 00:00:00;lower_low;0,6604566291170733;2021-03-29 00:00:00;lower_high;0,7528308365440085
2021-12-17 00:00:00;CADCHF;6;0,7189599871635437;D1;;2021-08-20 00:00:00;lower_low;0,7087727198812983;2021-10-20 00:00:00;higher_high;0,7494405484319239
2021-12-19 23:00:00+00:00;AUDUSD;6;0,711004912853241;H12;;2021-09-03 12:00:00+01:00;6;0,746362435068727;2021-09-29 12:00:00+01:00;higher_low;0,7174205357602973
2021-12-19 23:00:00+00:00;AUDUSD;6;0,7096728086471558;H8;;2021-10-28 08:00:00+01:00;higher_high;0,7549432170244998;2021-12-03 15:00:00+00:00;lower_low;0,6999343037515651
2021-12-20 05:00:00+00:00;AUDUSD;6;0,711004912853241;H6;;2021-10-28 12:00:00+01:00;higher_high;0,7549432170244998;2021-12-03 17:00:00+00:00;lower_low;0,6999343037515651
2021-12-20 07:00:00+00:00;AUDUSD;6;0,711004912853241;H4;;2021-10-28 12:00:00+01:00;higher_high;0,7549432170244998;2021-12-03 19:00:00+00:00;lower_low;0,6999343037515651
